date,avg_hourly_wage,avg_hourly_wage_lag,avg_hourly_wage_diff,USNHPI,USNHPI_diff
3/1/2006,20.04,20.17,0,182.748,0
4/1/2006,20.17,20.13,0.13,183.648,0.9
5/1/2006,20.13,20.22,-0.04,184.38,0.732
6/1/2006,20.22,20.29,0.09,184.547,0.167
7/1/2006,20.29,20.32,0.07,184.607,0.06
8/1/2006,20.32,20.4,0.03,184.404,-0.203
9/1/2006,20.4,20.42,0.08,184.198,-0.206
10/1/2006,20.42,20.49,0.02,184.054,-0.144
11/1/2006,20.49,20.58,0.07,183.631,-0.423
12/1/2006,20.58,20.59,0.09,183.228,-0.403
1/1/2007,20.59,20.68,0.01,182.717,-0.511
2/1/2007,20.68,20.72,0.09,182.469,-0.248
3/1/2007,20.72,20.79,0.04,182.191,-0.278
4/1/2007,20.79,20.84,0.07,182.129,-0.062
5/1/2007,20.84,20.95,0.05,181.883,-0.246
6/1/2007,20.95,20.94,0.11,181.539,-0.344
7/1/2007,20.94,21,-0.01,180.993,-0.546
8/1/2007,21,21.04,0.06,180.234,-0.759
9/1/2007,21.04,21.06,0.04,179.122,-1.112
10/1/2007,21.06,21.12,0.02,177.529,-1.593
11/1/2007,21.12,21.16,0.06,175.161,-2.368
12/1/2007,21.16,21.19,0.04,173.337,-1.824
1/1/2008,21.19,21.27,0.03,171.076,-2.261
2/1/2008,21.27,21.36,0.08,169.189,-1.887
3/1/2008,21.36,21.38,0.09,167.9,-1.289
4/1/2008,21.38,21.47,0.02,167.317,-0.583
5/1/2008,21.47,21.52,0.09,167.014,-0.303
6/1/2008,21.52,21.6,0.05,166.533,-0.481
7/1/2008,21.6,21.7,0.08,165.711,-0.822
8/1/2008,21.7,21.73,0.1,164.277,-1.434
9/1/2008,21.73,21.76,0.03,161.911,-2.366
10/1/2008,21.76,21.86,0.03,159.162,-2.749
11/1/2008,21.86,21.95,0.1,156.071,-3.091
12/1/2008,21.95,21.96,0.09,152.543,-3.528
1/1/2009,21.96,21.98,0.01,149.361,-3.182
2/1/2009,21.98,22.05,0.02,147.616,-1.745
3/1/2009,22.05,22.1,0.07,146.513,-1.103
4/1/2009,22.1,22.12,0.05,146.941,0.428
5/1/2009,22.12,22.14,0.02,148.168,1.227
6/1/2009,22.14,22.18,0.02,149.795,1.627
7/1/2009,22.18,22.23,0.04,150.747,0.952
8/1/2009,22.23,22.27,0.05,150.667,-0.08
9/1/2009,22.27,22.31,0.04,149.626,-1.041
10/1/2009,22.31,22.34,0.04,148.582,-1.044
11/1/2009,22.34,22.37,0.03,147.937,-0.645
12/1/2009,22.37,22.4,0.03,146.665,-1.272
1/1/2010,22.4,22.46,0.03,145.003,-1.662
2/1/2010,22.46,22.46,0.06,143.056,-1.947
3/1/2010,22.46,22.49,0,143.596,0.54
4/1/2010,22.49,22.51,0.03,145.398,1.802
5/1/2010,22.51,22.53,0.02,147.031,1.633
6/1/2010,22.53,22.59,0.02,147.697,0.666
7/1/2010,22.59,22.62,0.06,147.559,-0.138
8/1/2010,22.62,22.67,0.03,146.425,-1.134
9/1/2010,22.67,22.73,0.05,144.606,-1.819
10/1/2010,22.73,22.73,0.06,143.124,-1.482
11/1/2010,22.73,22.76,0,141.811,-1.313
12/1/2010,22.76,22.87,0.03,140.62,-1.191
