,date,avg_hourly_wage,avg_hourly_wage_lag,avg_hourly_wage_diff,USNHPI,USNHPI_diff,date_diff,avg_hourly_wage_log_diff,USNHPI_log_diff
2,2006-05-01,20.13,20.22,-0.04,184.38,0.732,30 days,-0.001985112314420334,0.003977963444496524
3,2006-06-01,20.22,20.29,0.09,184.547,0.167,31 days,0.004460973940624946,0.0009053282161852749
4,2006-07-01,20.29,20.32,0.07,184.607,0.06,30 days,0.0034559402453981924,0.0003250675898316402
5,2006-08-01,20.32,20.4,0.03,184.404,-0.203,31 days,0.001477468872557619,-0.0011002383152698414
6,2006-09-01,20.4,20.42,0.08,184.198,-0.206,31 days,0.003929278139889636,-0.0011177368622359296
7,2006-10-01,20.42,20.49,0.02,184.054,-0.144,30 days,0.0009799118863491607,-0.0007820731854257801
8,2006-11-01,20.49,20.58,0.07,183.631,-0.423,31 days,0.0034221495142885416,-0.002300883564005929
9,2006-12-01,20.58,20.59,0.09,183.228,-0.403,30 days,0.004382768155095196,-0.0021970302601532765
10,2007-01-01,20.59,20.68,0.01,182.717,-0.511,31 days,0.00048579063379472487,-0.002792771220438084
11,2007-02-01,20.68,20.72,0.09,182.469,-0.248,31 days,0.0043615286005302956,-0.001358212188444341
12,2007-03-01,20.72,20.79,0.04,182.191,-0.278,28 days,0.001932367751053654,-0.001524708242508055
13,2007-04-01,20.79,20.84,0.07,182.129,-0.062,31 days,0.003372684478639254,-0.0003403601262546019
14,2007-05-01,20.84,20.95,0.05,181.883,-0.246,30 days,0.002402115015244899,-0.0013516039990442152
15,2007-06-01,20.95,20.94,0.11,181.539,-0.344,31 days,0.005264429482980226,-0.0018931165572704245
16,2007-07-01,20.94,21.0,-0.01,180.993,-0.546,30 days,-0.00047744092575552344,-0.0030121501705977494
17,2007-08-01,21.0,21.04,0.06,180.234,-0.759,31 days,0.002861232281031967,-0.004202349862986843
18,2007-09-01,21.04,21.06,0.04,179.122,-1.112,31 days,0.001902950146086102,-0.0061888686946938165
19,2007-10-01,21.06,21.12,0.02,177.529,-1.593,30 days,0.0009501188363203461,-0.008933162075080325
20,2007-11-01,21.12,21.16,0.06,175.161,-2.368,31 days,0.0028449521322313487,-0.01342842486915874
21,2007-12-01,21.16,21.19,0.04,173.337,-1.824,30 days,0.0018921481520379757,-0.010467874453119919
22,2008-01-01,21.19,21.27,0.03,171.076,-2.261,31 days,0.0014167652901089234,-0.013129774318850984
23,2008-02-01,21.27,21.36,0.08,169.189,-1.887,31 days,0.003768256931937941,-0.011091468972495022
24,2008-03-01,21.36,21.38,0.09,167.9,-1.289,29 days,0.004222384879848384,-0.007647869154935982
25,2008-04-01,21.38,21.47,0.02,167.317,-0.583,31 days,0.0009358915049051397,-0.0034783473857524783
26,2008-05-01,21.47,21.52,0.09,167.014,-0.303,30 days,0.004200706293790546,-0.001812575459392285
27,2008-06-01,21.52,21.6,0.05,166.533,-0.481,31 days,0.0023261234028937317,-0.002884153258322364
28,2008-07-01,21.6,21.7,0.08,165.711,-0.822,30 days,0.0037105793965359624,-0.004948180717707196
29,2008-08-01,21.7,21.73,0.1,164.277,-1.434,31 days,0.00461894585629441,-0.008691279845455036
30,2008-09-01,21.73,21.76,0.03,161.911,-2.366,31 days,0.0013815337219242885,-0.014507225866510431
31,2008-10-01,21.76,21.86,0.03,159.162,-2.749,30 days,0.0013796277194040307,-0.017124250099229243
32,2008-11-01,21.86,21.95,0.1,156.071,-3.091,31 days,0.00458506076065035,-0.019611519535888355
33,2008-12-01,21.95,21.96,0.09,152.543,-3.528,30 days,0.004108656772787711,-0.02286450839994103
34,2009-01-01,21.96,21.98,0.01,149.361,-3.182,31 days,0.00045547712014970543,-0.021080329071248904
35,2009-02-01,21.98,22.05,0.02,147.616,-1.745,31 days,0.0009103323341452807,-0.01175188706863839
36,2009-03-01,22.05,22.1,0.07,146.513,-1.103,28 days,0.0031796529173799826,-0.007500145653835055
37,2009-04-01,22.1,22.12,0.05,146.941,0.428,31 days,0.002265006630851829,0.002916983946242624
38,2009-05-01,22.12,22.14,0.02,148.168,1.227,30 days,0.0009045681304269415,0.008315619452683443
39,2009-06-01,22.14,22.18,0.02,149.795,1.627,31 days,0.0009037506263567252,0.010920927568449201
40,2009-07-01,22.18,22.23,0.04,150.747,0.952,30 days,0.0018050546417303082,0.006335242222815118
